userId,Movie_id,Movie_Title,Released_Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3,
7055,7055,Cabaret,-2019,95 min,"Drama, Musical, Thriller",3.4,175,Kaustav Narayan Niyogi,Akshay Anand,Richa Chadha,Gulshan Devaiah,
7056,7056,Calapor,-2013,120 min,Drama,4.5,6,Dinesh P. Bhonsle,Hemant Gopal,Rituparna Sengupta,Akash Sharma,
7057,7057,Calcutta After Midnight,-1938,,Drama,,,Abdul Rehman Kabuli,,,,
7058,7058,Calcutta Mail,-2003,128 min,"Action, Drama, Mystery",5.7,480,Sudhir Mishra,Anil Kapoor,Rani Mukerji,Manisha Koirala,
7059,7059,Calendar Girls,-2015,131 min,Drama,4.2,862,Madhur Bhandarkar,Akanksha Puri,Avani Modi,Kyra Dutt,
7061,7061,Call,-2000,176 min,"Action, Drama, Romance",6.8,"2,236",Rajkumar Santoshi,Anil Kapoor,Madhuri Dixit,Namrata Shirodkar,
7062,7062,Call for Fun,-2017,126 min,Comedy,5.6,36,Janak Toprani,Priyanka Arya,Charu Asopa,Yash Chaturvedi,
7064,7064,Call Girl,-1974,,"Drama, Family, Romance",6.6,24,Vijay Kapoor,Zaheera,Vikram Makandar,Iftekhar,
7069,7069,Camp Decent,,,Comedy,,,Sandeep Kumar Rana,Brijendra Kala,Sara Khan,Rajpal Yadav,
7073,7073,Campus,-2005,70 min,Romance,,,Clive Dev,RajasekarDop,Venki,Vettri,
7075,7075,Campus,,,,,,,,,,
7076,7076,Campus,-2000,,Romance,,,Shefali Shah,Aryan Vaid,Arif Zakaria,,
7080,7080,Campus,-2000,,Romance,,,,,,,
7081,7081,Cancer aur Gupt Rog,-1981,,Drama,,,,,,,
7082,7082,Cant Stay Down,-2018,,Sport,,,Safura Ubaid,,,,
7083,7083,Cape Karma,-2007,90 min,"Drama, Mystery, Thriller",4.2,141,Pankaj Advani,Rahul Dev,Audrie Woodhouse,Gulshan Grover,
7084,7084,Captain Azad,-1964,,Action,,,Hameed,Azaad Irani,Ram Rasila,G.P. Sippy,
7087,7087,Captain Barry,-1984,,Action,3.2,5,Surjit Gill,Sunil Dhawan,Uma Dhawan,Benjamin Gilani,
7088,7088,Captain Bhawani,-1999,,Action,,,Kodi Ramakrishna,Vinod Kumar,Kota Srinivasa Rao,Raghunath Reddy,
7089,7089,Captain India,-1960,,Action,,,Kamran,Krishna Kumari,Rajan Kapoor,Baburaje,
7090,7090,Captain Karan,-1978,,Action,,,,,,,
7092,7092,Captain Kirti Kumar,-1937,,,,,Chimanlal Luhar,Motilal,,,
7101,7101,Captain Kishore,-1940,,"Action, Comedy",,,K. Amarnath,S. Nazir,Lalita Pawar,Yasmin,
7106,7106,Captain Kishore,-1957,,"Action, Thriller",,,J.B.H. Wadia,Suresh,Vijaya Choudhury,Shashikala,
7115,7115,Captain Nagarjuna,-1986,134 min,"Drama, Romance",6.5,13,Rajendra Prasad V.B.,Nagarjuna Akkineni,Kushboo,Dubbing Janaki,
7116,7116,Captain Nawab,,143 min,"Action, Drama, Thriller",,,Anthony D'Souza,Arvind Singh Rajpoot,Emraan Hashmi,Malvika Raaj,
7117,7117,Captain Prabhakaran,-1991,150 min,"Action, Thriller",7,212,R.K. Selvamani,Mansoor Ali Khan,Sarath Kumar,Ramya Krishnan,
7118,7118,Captain Sheroo,-1963,,,,,Dharam Kumar,Helen,Paidi Jairaj,Niranjan Sharma,
7120,7120,Captain Shiva,-1996,,Action,,,Kodi Ramakrishna,Sarath Babu,Sarath Kumar,Raghuvaran,
7121,7121,Captain Vidyut,-2020,77 min,"Animation, Action, Comedy",7.7,11,Atish Tripathi,Namit Das,Trisha Kale,Suresh Menon,
7124,7124,Car Thief,-1986,150 min,Action,7,13,Sameer Malkan,Suneil Anand,Vijayata Pandit,Kevin Mukherji,
7125,7125,Caravan,-1944,,,,,Aspi Irani,Arun,Kesari,Sylvie St. Clair,
7135,7135,Caravan,-1971,161 min,"Action, Comedy, Musical",6.8,260,Nasir Hussain,Asha Parekh,Jeetendra,Aruna Irani,
7136,7136,Caravan,-1956,,,,,Rafiq Rizvi,Hiralal,Yashodra Katju,Mahipal,
7140,7140,Care of Footpath,-2009,110 min,"Drama, Family",7.2,42,Kishan Shrikanth,Kishan Shrikanth,Jayashree Basavaraj,Jackie Shroff,
7141,7141,Careless,-2020,,Drama,,,Alokk Srivastava,Shefali Dan,Shravani Goswami,Ramesh Goyal,
7142,7142,Cargo,-2019,119 min,"Drama, Fantasy, Sci-Fi",5.7,"2,589",Arati Kadav,Vikrant Massey,Shweta Tripathi,Nandu Madhav,
7145,7145,Carnival Queen,-1955,,Action,,,Noshir Engineer,Fearless Nadia,John Cawas,Habib,
7146,7146,Carry on Papa,-2003,,Comedy,,,Shireesh Sharma,Kim Taggart,,,
7149,7149,Cartography of Loneliness,-2011,69 min,"Documentary, Biography",6.2,5,Nocem Collado,,,,
7153,7153,Case of Bisarpani,-2015,72 min,Horror,,,Abhishek Paul,Abhishek Paul,Pallavi Singh,Himanshu Kukreja,
7154,7154,Cash,-2007,137 min,"Action, Crime, Thriller",3.4,"1,859",Anubhav Sinha,Ajay Devgn,Sunil Shetty,Zayed Khan,
7155,7155,Cash hai to aish hai,,,Comedy,,,Manish Vatssalya,Jimmy Sheirgill,Yuvika Chaudhary,Vrajesh Hirjee,
7156,7156,CC2C,-2009,154 min,"Action, Adventure, Comedy",4.1,"8,102",Nikkhil Advani,Akshay Kumar,Deepika Padukone,Chia-Hui Liu,
7163,7163,Cecilia,-2015,83 min,Documentary,7.9,31,Pankaj Johar,Cecilia,Pankaj Johar,Rishi Kant,
7170,7170,Celluloid Man,-2012,164 min,Documentary,7.8,162,Shivendra Singh Dungarpur,U.R. Ananthamurthy,G. Ananthappa,Beena Antony,
7171,7171,Censor,-2001,165 min,Drama,3.5,122,Dev Anand,Dev Anand,Hema Malini,Shammi Kapoor,
7180,7180,Cha Cha Cha,-1964,,"Musical, Romance",5.2,21,Chandrashekhar,Chandrashekhar,Helen,Om Prakash,
