userId,Movie_id,Movie_Title,Released_Year,Duration,Genre,,
153,153,A Journey of Samyak Buddha,-2013,127 min,Drama,,
156,156,A New Love Ishtory,-2013,140 min,Romance,,
160,160,A Scandall,-2016,112 min,Thriller,,
167,167,A Sublime Love Story: Barsaat,-2005,143 min,"Drama, Romance",,
169,169,A Thin Line,-2019,104 min,Drama,,
173,173,A Wednesday,-2008,104 min,"Action, Crime, Drama",,
175,175,Aa Ab Laut Chalen,-1999,177 min,"Musical, Romance, Drama",,
176,176,AA BB KK,-2018,121 min,Drama,,
178,178,Aa Dekhen Zara,-2009,117 min,"Action, Sci-Fi, Thriller",,
179,179,Aa Gale Lag Jaa,-1973,148 min,"Action, Drama, Romance",,
180,180,Aa Gale Lag Jaa,-1994,158 min,"Mystery, Romance",,
181,181,Aa Gaya Hero,-2017,123 min,Action,,
182,182,Aa Jao Please,-2016,120 min,Drama,,
184,184,Aabra Ka Daabra,-2004,144 min,Fantasy,,
186,186,Aabroo,-1968,170 min,"Comedy, Crime, Drama",,
192,192,Aadamkhor,-2018,72 min,Horror,,
197,197,Aadat Se Majboor,-1982,105 min,"Action, Crime, Drama",,
198,198,Aadha Din Aadhee Raat,-1977,132 min,Action,,
199,199,Aadhaar,-2019,107 min,Drama,,
201,201,Aadharshila,-1982,154 min,Drama,,
203,203,Aadhi Bhagavan,-2013,157 min,"Action, Crime, Thriller",,
207,207,Aadhi Raat,-1950,115 min,"Drama, Romance",,
212,212,Aadmi,-1968,175 min,"Drama, Romance",,
213,213,Aadmi,-1993,153 min,"Action, Crime, Drama",,
214,214,Aadmi Aur Apsara,-1991,142 min,Fantasy,,
216,216,Aadmi Aur Insaan,-1969,168 min,"Drama, Romance, Thriller",,
217,217,Aadmi Khilona Hai,-1993,158 min,"Drama, Romance",,
218,218,Aadmi Ki Aurat Aur Anya Kahaniya,-2009,78 min,Drama,,
219,219,Aadmi Sadak Ka,-1977,138 min,"Drama, Family",,
220,220,Aadupuliyattam,-2016,145 min,Horror,,
221,221,Aafat,-1977,148 min,"Crime, Drama",,
224,224,Aag,-1948,138 min,"Musical, Romance",,
226,226,Aag,-1994,139 min,"Action, Comedy, Drama",,
229,229,Aag Aur Chingari,-1994,133 min,Action,,
236,236,Aag Hi Aag,-1987,170 min,Action,,
239,239,Aag Ka Gola,-1990,180 min,"Action, Drama",,
242,242,Aag Ka Toofaan,-1993,137 min,Action,,
243,243,Aag Ke Sholay,-1988,138 min,"Action, Thriller",,
247,247,Aag Se Khelenge,-1989,151 min,Action,,
253,253,Aage Maut Peeche Maut,-2001,78 min,Horror,,
255,255,Aagey Se Right,-2009,117 min,"Comedy, Crime, Drama",,
257,257,Aaghaaz,-2000,153 min,"Action, Crime, Drama",,
260,260,Aah,-1953,150 min,"Drama, Musical, Romance",,
264,264,Aahuti,-1978,135 min,"Action, Drama",,
270,270,Aaina,-1993,149 min,"Drama, Romance",,
271,271,Aaina,-1977,150 min,Drama,,
275,275,Aaj,-1987,116 min,Drama,,
277,277,Aaj Aur Kal,-1963,144 min,"Drama, Romance",,
280,280,Aaj Ka Andha Kanoon,-2003,46 min,Action,,
281,281,Aaj Ka Arjun,-1990,164 min,"Action, Crime, Drama",,
282,282,Aaj Ka Daur,-1985,153 min,"Action, Drama",,
285,285,Aaj Ka Goonda Raaj,-1992,147 min,"Action, Thriller",,
293,293,Aaj Ka Mahaatma,-1976,170 min,"Action, Romance",,
297,297,Aaj Ka Ravan,-2000,128 min,"Action, Crime",,
