,Unnamed: 0,imdb_title_id,title,original_title,year,date_published,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote,votes,budget,usa_gross_income,worldwide_gross_income,metascore,reviews_from_users,reviews_from_critics,Director,Actor,genres,movie_title,Actor_name,comb
3483,62343.0,tt1825801,Hostel,Hostel,2011.0,2011-01-21,"Action, Crime, Drama",111.0,India,"Hindi, English, Marathi",Manish Gupta,"Manish Gupta, Virag Mishra",Matrix Media,"Vatsal Sheth, Tulip Joshi, Mukesh Tiwari, Nagesh Bhonsle, Chandrachur Karnik, Subeer Goswamin, Ramesh Chandane, Nirmal Soni, Vinamra Pancharia, Yusuf Hussain, Aarif Sheikh, Gufi Paintal, Vikram Kumar, Ulhas Tayade, Sameer Kulkarni","An Engineering student is molested, beaten and humiliated when he goes to reside in a hostel.",5.2,552.0,,,,,4.0,2.0,,,,,,
3484,62346.0,tt1825833,Kandahar,Kandahar,2010.0,2010-12-16,"Action, Drama",150.0,India,Malayalam,"Major Ravi, Kudamaloor Rajaji",Major Ravi,Zoe Estebe Moviez,"Mohanlal, Amitabh Bachchan, Ganesh Venkatraman, Ragini Dwivedi, Sumalatha, Anoop Chandran, Ananya, N.L. Balakrishnan, Pradeep Chandran, Jaffer Idukki, Joemon Joshy, Shrikant Kamat, Gautam Kurup, Lal, K.P.A.C. Lalitha","Another mission with Mahadevan and crew, as they deal with international terrorism with a flight being hijacked by hardcore terrorists.",3.4,310.0,,,,,,,,,,,,
3485,62384.0,tt1828289,Shagird,Shagird,2011.0,2011-05-13,"Action, Crime, Drama",143.0,India,"Hindi, English",Tigmanshu Dhulia,"Tigmanshu Dhulia, Tigmanshu Dhulia",Faizee Productions,"Nana Patekar, Mohit Ahlawat, Rimi Sen, Anurag Kashyap, Zakir Hussain, Master Ahan Desai, Rajiv Gupta, Asawari Joshi, Jai Kalra, Vijay Kaushik, Jahangir Khan, Mushtaq Khan, Nassar, Sitaram Panchal, Anna Maria Pinna","A rookie cop questions the tactics of his superior, and attempts to track the abductors of his girlfriend.",7.1,1799.0,,,,,15.0,4.0,,,,,,
3486,62399.0,tt1830477,Ala Modalaindi,Ala Modalaindi,2011.0,2011-01-21,"Comedy, Drama, Romance",136.0,India,Telugu,Nandini Reddy,Lakshmi Bhoopal,Sri Ranjith Movies,"Nani, Nithya Menen, Sneha Ullal, Kriti Kharbanda, Pragathi, Thagubothu Ramesh, Rohini, Sivannarayana, Narayana Rao Uppalapati, Ashish Vidyarthi","On the day of his girlfriend's marriage, Gautam gets kidnapped by an unknown criminal. Bored on the way to the kidnapper's den, Gautam is forced to narrate his cute love story which is filled with loads of twists and turns.",7.7,2423.0,,,,,4.0,1.0,,,,,,
3487,62405.0,tt1830782,Raam,Raam,2009.0,2009-12-25,"Comedy, Drama",149.0,India,Kannada,K. Madesha,"Gopimohan, K. Madesha",Aditya Arts,"Puneeth Rajkumar, Priyamani, Doddanna, Srinath, Rangayana Raghu, Shobharaj, Sadhu Kokila, M.S. Umesh, Sharath Lohitashwa, Chethan Kumar, Sonu Gowda, Arun Sagar, Thilak Shekar, Padma Vaasanthi, Chitra Shenoy","Pooja's rich uncles try to forcibly marry her off and Raam rescues her from this marriage. She falls in love with him, but her uncles don't approve of him. Now it is up to Raam to win their hearts.",6.5,125.0,,,,,,,,,,,,
3488,62406.0,tt1830786,Rascals,Rascals,2011.0,2011-10-06,"Action, Comedy, Crime",128.0,India,"Hindi, Punjabi, Gujarati, English",David Dhawan,"Sanjay Chhel, Yunus Sajawal",M/s Rupali Aum Entertainment,"Ajay Devgn, Sanjay Dutt, Kangana Ranaut, Lisa Haydon, Arjun Rampal, Satish Kaushik, Hiten Paintal, Chunky Pandey, Bharti Achrekar, Mansha Bahl, Steven Clarke, Anil Dhawan, Jawed El Berni, Mushtaq Khan, Mo Rodvanich",Two rival con-men attempt to outdo each other to woo a wealthy woman.,2.9,2516.0,,273829.0,652756.0,,14.0,14.0,,,,,,
3489,62408.0,tt1830802,Shala,Shala,2011.0,2012-01-20,Romance,108.0,India,Marathi,Sujay Dahake,"Milind Bokil, Avinash Deshpande",Concepts & Conversations,"Anshuman Joshi, Ketaki Mategaonkar, Dilip Prabhavalkar, Nandu Madhav, Amruta Khanvilkar, Ashwini Giri, Santosh Juvekar, Jitendra Joshi, Suhas Vedpathak, Omkar Mane, Ketan Pawar, Snehal Ghayal, Yogesh Dalvi, Shashank Shende, Ganesh Mayekar","Set in the 70's in rural India, four 9th grade kids were writing their destiny. Joshi (14) is madly in love with Shirodkar (14) a beautiful Indian looking girl. Both study in the same class. The age old question ""What is love anyway?""",8.2,1678.0,,,,,9.0,4.0,,,,,,
3490,62410.0,tt1830890,Uthama Puthiran,Uthama Puthiran,2010.0,2010-11-05,"Comedy, Romance",169.0,India,Telugu,Mithran Jawahar,Gopimohan,Balaji Real Media,"Dhanush, Genelia D'Souza, Vivek, Ashish Vidyarthi, Jayaprakash Reddy, Bhagyaraj, Ambika, Rekha, L. Srinath, Aarthi, Mayilsamy, Motta Rajendran, Karunas, Uma Pathmanabhan, Pandu","Siva (Dhanush) is asked to help a friend in a love marriage. Siva kidnaps Pooja (Genelia D'Souza) on a mistaken identity from the marriage hall. When Pooja is kidnapped, her uncles (both ...",5.7,493.0,,,,,2.0,1.0,,,,,,
3491,62416.0,tt1831825,Wanted,Wanted,2011.0,2011-01-26,"Action, Drama",160.0,India,Telugu,B.V.S. Ravi,"B.V.S. Ravi, B.V.S. Ravi",Bhavya Creations,"Tottempudi Gopichand, Deeksha Seth, Chandramohan, Jayasudha, Prakash Raj, Banerjee, Shafi, Subbaraju, Brahmanandam, Aahuthi Prasad, Ali, Mehmet Ali Söylet","Ram Babu (Gopichand) is the only son of cute couple Ram Babu and Janaki (Chandramohan and Jayasudha), who have earned so much for their son to lead a happy life without doing any work. In ...",4.0,103.0,,,,,,1.0,,,,,,
3492,62437.0,tt1833673,Dhoom:3,Dhoom:3,2013.0,2013-12-20,"Action, Thriller",172.0,India,"Hindi, English, Tamil, Telugu, Arabic",Vijay Krishna Acharya,"Vijay Krishna Acharya, Aditya Chopra",CounterPunch Studios,"Aamir Khan, Abhishek Bachchan, Katrina Kaif, Uday Chopra, Jackie Shroff, Tabrett Bethell, Andrew Bicknell, Siddharth Nigam, Charles Rasmussen, Gavin Marshall, James Lamont, Girisha Nichani, Kapish Chawla, Kanishka Soni, Kavya Nayak","When Sahir, a circus entertainer trained in magic and acrobatics, turns into a thief to take down a corrupt bank in Chicago that ruined his father, Indian officers Jai and Ali are called to catch him.",5.4,42374.0,,8031955.0,88031955.0,61.0,415.0,45.0,,,,,,
